NAME_(ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,
Chokurdah,"Chokurdakh (US), Cokurdah",1 km N,Chokurdah,Yakutia,RUS,5,UESO,,CD,M,5,70,37.5,N,147,53.9,E,G,194,T97,151,T90,,,70.625,147.8983,-13.4,2000,50,A,66,Aug-26,ASPH,,,,,,,,,,,MIL/CIV,,,,Major airfield handling small transport aircraft.  Gravelled curved taxiways on north side suggest interceptors were based here.  Elevation given as 46 (TPC) and 35 (JNC).,
Ostrov Vrangelya Somnitelnaya,Ostrov Wrangel,2 km NE,Zvezdnyy,Chukotka,RUS,0,,,,x,2,70,57,N,179,37,W,?,249,T,,,,,70.95,-179.6167,5.2,1585,?,T,?,?,DIRT,,,,,,,,,,,CIV,,,,Probably a civilian airfield.  Location is covered poorly by Google.,
Salmiyarvi,,14 km SW,Salmiyarvi,Murmanskaya,RUS,9,,,,M,0,69,19.8,N,29,59.1,E,G,299,G,,,,,69.33,29.985,,1200,50,G,36,,????,,,,,,,,,,,???,,,,Appears to be an old WWII airfield.  Appeared on GNC-3 1974 edition but was not listed as jet-capable.,
Luostari/Pechenga,Luostari/Pechenga (US),8 km E,Zapolyarnyj,Murmanskaya,RUS,9,,,,M,4,69,24.1,N,30,59.3,E,H,249,T00,,,,,69.4017,30.9883,13,1750,50,H,30,Feb-20,ASPH,,,,,,,,,,,MIL,,H,,"Former Cold War airfield which is the closest facility to the Norwegian border.  It became a helicopter base in the 1990s, operated by 258 OVE flying Mi-24K/R, Mi-35, and Mi-8 helicopters.  The helicopter regiment now appears to be gone, as Google high-res imagery showed no equipment based at the airfield, and the airfield is now in decay.  It appears there was an attempt to extend the runway to 2000 m at one time.",
Koshka Yavr,,25 km SE,Zapolyarnyj,Murmanskaya,RUS,4,,,,M,5,69,15.1,N,31,11.8,E,G,482,T00,495,?,,,69.2517,31.1967,13,3000,40,G,19,Jan-19,CONC,,,,,,,,,,,MIL,,Z,,"Minor, mediocre unattended airfield 83 km W of Murmansk, but with considerable runway length and small taxiway; is probably a forward deployment base.  Stands behind Pechenga as the closest base to Norway.",
Kilpajarvi,"Kilpyavr (US), Kilp-Yavr, Kil'p-Yar, Kilp-Yar, Polyarn'y, Polyarnyy",30 km NW,Murmansk,Murmanskaya,RUS,9,,,,M,5,69,5.7,N,32,24.1,E,G,249,T00,305,?,,,69.095,32.4017,14,2490,45,H,44,Mar-21,CONC,,,,,,,,,,,MIL,,I,,"Small interceptor base operated by 941 IAP and possibly 9 IAP.  The airfield initially operated MiG-19, Su-9, and MiG-23M during the 1960s.  It saw an upgrade to 38 Su-27 aircraft starting in 1985.  It should be noted that Polyarny is also the name of an airfield at Yakutsk.  Satellite imagery taken around 2003 showed numerous fighter jets based at this airfield.",
Severomorsk-1,"Safanovo (US), Severomorsk (US), Murmansk-Vayenga (DoD), Vayenga",4 km S,Severomorsk,Murmanskaya,RUS,9,ULAK,,,M,8,69,1.8,N,33,25.5,E,C,239,T00,217,O88,,,69.03,33.425,14,3500,80,H,147,14/32,CONC,,,,,,,,,,,MIL,,BA,,"This is one of the two largest airfields in the Murmansk region.  The main resident unit is the 987 MRAP, flying Tu-22M and Tu-16 as late as the early 1990s.  Also operating from the airfield is 24 ODLAPDD, flying Il-38s in the early 1990s.  The 3000 m runway has a 500 m overrun on the north side, and the airfield can accommodate over 40 bombers and a small number of fighters.  It lies 4 km south of Severomorsk.  This airfield was referred to as Vayenga in a 1955 CIA intelligence estimate, citing an airfield 9.5 miles northeast of Murmansk.",
Severomorsk-2,"Safonovo (USSR), Murmansk Northeast (US)",7 km SW,Severomorsk,Murmanskaya,RUS,9,,,,M,6,69,0.9,N,33,17.5,E,G,272,T00,253,?,230,O88,69.015,33.2917,14,1900,40,G,163,15/33,ASPH,,,,,,,,,,,MIL,,U,,"Small airfield halfway between Severomorsk and Murmansk (11 km NE of Murmansk).  It was home to 403 ODLAP, flying 24 Be-12 aircraft as late as the early 1990s.  It appears this regiment is now gone and the airfield is in a state of decay.  The runway originally had an 80 m width but only 40 m is usable.",
Vostochnyy Kildin,Ostrov Kildin (US),41 km NE,Severomorsk,Murmanskaya,RUS,4,,,,A,2,69,19,N,34,10.7,E,G,75,,,,,,69.3167,34.1783,15,1850,40,G,94,Aug-26,ASPH,,,,,,,,,,,MIL,,,,Appears to be an old attack airfield or forward deployment field; no facilities.,
Amderma,,4 km W,Amderma,Novaya Zemlya,RUS,4,ULDD,,CD,M,6,69,45.8,N,61,33.6,E,G,13,,,,,,69.7633,61.56,26,2600,50,A,99,Aug-26,PLAT,,,,,,,,,,,MIL,PVO,I,,"Interceptor airfield operated by the 72 Gv IAP (given by some sources as 74 IAP), which was flying at least 31 MiG-31 aircraft in the early 1990s.  The facility is a simple concrete airfield built on a spit along the ocean.  There is some limited tarmac space for deployed aircraft.",
Antipayuta,,1 km N,Antipayuta,,RUS,4,USDI,,,N,1,69,6.1,N,76,51.4,E,G,79,Z,,,,,69.1017,76.8567,24,300,30,G,78,May-23,DIRT,,,,,,,,,,,CIV,,,,"Minor airstrip, position uncertain.",
Dudinka,,3 km S,Dudinka,Krasnoyarski krai,RUS,4,UROD,,,M,4,69,22.5,N,86,9.4,E,G,82,,,,,,69.375,86.1567,20,1454,28,A,32,Jan-19,CONC,,,,,,,,,,,CIV,,,,Services small transport aircraft.,
Norilsk/Alykel,,35 km W,Norilsk,Krasnoyarski krai,RUS,4,UOOO,,CD,M,8,69,18.7,N,87,20,E,CD,574,D,,,,,69.3117,87.3333,19,3441,45,D,32,Jan-19,CONC,,,,,,,,,,,CIV/MIL,"OGA,PVO",I,,"Alykel is the only functional airfield around Norilsk.  It handles medium-sized airliners; 24 hour operations.  Designated as emergency airfield for cross-polar route.  Created in late 1950s, it has been a OGA (Arctic Control Group) facility providing staging for Soviet bombers to reach the U.S.  It has also served as an interceptor airfield, operated by 57 IAP flying at least 24 Su-15TM aircraft in 1991.",
Valek,,9 km NE,Norilsk,Krasnoyarski krai,RUS,9,UOOW,,,M,4,69,23.7,N,88,21.3,E,G,108,O,,,,,69.395,88.355,18,1550,25,H,151,13/31,MIXD,,,,,,,,,,,?,,,,Airfield with unknown purpose about 8 km northeast of Norilsk.  Runway length is ambiguous due to severe deterioration of original runway.,
Deputatskiy,,7 km N,Deputatskiy,,RUS,9,UEWD,,,N,2,69,23.5,N,139,53.2,E,C,791,?,896,T90,,,69.3917,139.8867,-16,2200,25,H,87,Oct-28,GRAV,,,,,,,,,,,CIV,,,,A minor civilian airfield.  Runway boundaries not demarcated.,
Ozhogino,,1 km W,Poluosnyy,,RUS,4,,,,N,,69,12.4,N,147,15.9,E,G,98,T97,,,,,69.2067,147.265,,1000,30,G,131,,GRAV,,,,,,,,,,,,,,,Minor civilian airfield.,
Andrushkino,,,,,RUS,,UESA,,C,X,,69,12,N,154,26,E,C,33,G,,,,,69.2,154.4333,,,,,,,,,,,,,,,,,,,,,,,
Dresba,Krumaya,343 km W,Pevek,Chukotskiy,RUS,4,,,,a,0,69,21.8,N,161,33.7,E,G,272,S,,,,,69.3633,161.5617,-6,3500,40,G,161,17/35,CONC,,,,,,,,,,,-,,,,"Appears to be a never-completed bomber staging field, likely constructed around 1960.  Significant runway and taxiway patterns faintly appear on satellite.  Near village Mikhalkino.  Some sort of radar facility exists 14 km NW at 69-28N 161-23E.  Declassified satellite imagery shows the base existed in 1966 and was in good shape.",Thread: <http://www.avia.ru/cgi/discshow.cgi?id=5714221121916122707871106457037&topiccount=32>
Pevek,,15 km NE,Pevek,Chukotskiy,RUS,9,UHMP,,CD,M,6,69,47,N,170,35.8,E,D,10,D,,,,,69.7833,170.5967,0,2500,42,D,167,17/35,CONC,,,,,,,,,,,CIV,,,,Services medium-sized airliners.  May have served as interceptor base for northeast Arctic.  Elevation is given as 3 (TPC) and 14 (JNC).,
Komsomolskiy,,4 km SW,Komsomolskiy,Chukotskiy,RUS,4,,,,N,1,69,7,N,172,39.2,E,G,623,T,,,,,69.1167,172.6533,0,600,25,G,88,Sep-27,GRAV,,,,,,,,,,,CIV,,,,Confidence in position is low to moderate; this is the only possible airstrip in area indicated by TPC C-7B.,
Murmansk,Murmashi South (US),24 km SW,Murmansk,Murmanskaya,RUS,9,ULMM,,CD,M,,68,46.9,N,32,45.1,E,D,266,"C,D,T00",,,,,68.7817,32.7517,13,2500,45,CD,146,14/32,CONC,,,,,,,,,,,CIV,,,,Handles medium-sized airliners.  Parking for 15 aircraft at main terminal near center+AC650; 13 additional spots with helicopter stands at adjacent apron to northwest.,
Severomorsk-3,"Malyavr, Murmansk Northeast (US)",28 km E,Murmansk,Murmanskaya,RUS,9,,,,M,7,68,52,N,33,43,E,C,561,T00,564,?,509,O88,68.8667,33.7167,14,2500,60,H,3,17/35,CONC,,,,,,,,,,,MIL,,A,,"Appears to be a base for transport aircraft; large pads in remote taxiway loops.  It is operated by an attack fighter regiment, 279 OMSHAP, which flew 41 Su-25, 4 Su-25UB, and 5 Su-25UTG, 27 Yak-38, and one Yak-38U in the early 1990s.",
Taybola,Taybola Northwest (US),51 km S,Murmansk,Murmanskaya,RUS,4,,,,M,5,68,30.5,N,33,17.4,E,G,597,T00,,,,,68.5083,33.29,14,2200,40,G,7,17/35,CONC,,,,,,,,,,,?,,,,Unknown airfield; single 500 x 50 m ramp.  May be abandoned.,
Olenya,"Olenegorsk, Olenogorsk, Olen'ya, Olenya",8 km E,Olenegorsk,Murmanskaya,RUS,9,,,,M,8,68,9.1,N,33,27.9,E,G,689,T04,702,?,699,T00,68.1517,33.465,14,3500,80,H,19,18/36,CONC,,,,,,,,,,,MIL,OGA,R,,"This is the single most important strategic aviation base in the western Arctic, located 92 km south of Murmansk.  It is a major bomber airfield with wide runways and taxiways.  It has been operated by OGA (Arctic Control Group) to serve as a staging base for intercontinental bombers.   It was home to 924 MRAP that flew Tu-95MS, Tu-22M, and Tu-16.  An attack presence is provided by 88 OMAPIB, flying 31 MiG-27 and 9 MiG-23 aircraft in the early 1990s.  The 967 ODRAP flew reconnaissance with the Tu-16R.  Olenegorsk is headquarters for 5 MRAD and has served as a temporary summer facility for the Siaulyay Tu-126 AWACS airplane.  Satellite imagery from 2003 showed numerous Tu-22 aircraft.  Olenya is the name given on CAICA charts.",
Lovozero,,2 km NW,Lovozero,Murmansk,RUS,4,,,,N,4,68,1.3,N,35,0.2,E,G,499,"O,T00",,,,,68.0217,35.0033,14,725,80,G,86,Jul-25,CONC,,,,,,,,,,,CIV/MIL,,H,,Civilian airport and probably a former military helicopter base.,
Karatayka,,15 km N,Yangarey,,RUS,4,ULDT,,,N,1,68,53.8,N,61,22.6,E,G,39,,,,,,68.8967,61.3767,25,550,60,A,144,Dec-30,DIRT,,,,,,,,,,,CIV,,,,"Very minor airfield, may be abandoned.",
Mys Kamenny,"Kameny Cape, Kamenny Mys",2 km S,Kameny Cape,Nenetskiy,RUS,,USDK,,CD,N,3,68,28,N,73,35.8,E,G,98,,,,,,68.4667,73.5967,24,2460,87,A,172,15/33,SAND,,,,,,,,,,,CIV,,,,Accommodates small transport aircraft.  Position confidence is moderate and within 1 mile due to high albedo and poor contrast of surrounding area.,
Snezhnogorsk,,5 km W,Snezhnogorsk,,RUS,,UOIC,,,M,4,68,4.6,N,87,38.7,E,G,102,A,,,,,68.0767,87.645,17,1200,60,A,146,13/31,ASPH,,,,,,,,,,,CIV,,,,Small engineered airfield with one or two buildings and a few narrow taxiways.,
Olenek,,1 km NE,Olenek,Yakutia,RUS,,UERO,,C,M,5,68,30.9,N,112,28.9,E,G,846,,,,,,68.515,112.4817,-9,2000,100,A,177,18/36,DIRT,,,,,,,,,,,CIV,,,,Handles small transport aircraft.  Ramp space on satellite imagery is rather large.,
Abyy,,1 km NE,Abyy,,RUS,,,,,N,,68,24.2,N,145,2.8,E,G,148,T90,,,,,68.4033,145.0467,,400,20,G,158,,GRAV,,,,,,,,,,,CIV,,,,Small civilian airstrip.  Exact position and alignment uncertain due to poor satellite imagery.,
Belaya Gora,,3 km NE,Belaya Gora,Yakutia,RUS,,UESG,,,N,3,68,33.4,N,146,13.9,E,G,118,,,,,,68.5567,146.2317,-14,1800,60,A,58,Jul-25,DIRT,,,,,,,,,,,CIV,,,,Services small transport planes,
Chersky,Cherskiy,1 km S,Cherskiy,Yakutia,RUS,,UESS,,CD,M,5,68,44.4,N,161,20.4,E,G,20,?,98,T97,,,68.74,161.34,-7,1700,40,A,120,13/31,ASPH,,,,,,,,,,,CIV,,,,Services small transport aircraft. Elevation given as 6 (TPC) and 30 (JNC).  Runway width estimated from Google images.,
Ostrovnoye,,1 km N,Ostrovnoye,Chukotka,RUS,,,,,N,1,68,7,N,164,10.1,E,G,299,T,,,,,68.1167,164.1683,-6,400,30,G,122,13/31,DIRT,,,,,,,,,,,CIV,,,,Airfield location uncertain.,
Bilibino,,2 km SW,Bilibino,Chukotka,RUS,,,,,N,1,68,2.5,N,166,25.4,E,G,1401,T,,,,,68.0417,166.4233,-4,900,20,G,91,Oct-28,GRAV,,,,,,,,,,,CIV,,,,Airfield location uncertain.,
Baranikha,,1 km SW,Baranikha,Chukotka,RUS,,,,,N,2,68,29.8,N,168,15.4,E,G,699,T,,,,,68.4967,168.2567,-2,1300,30,G,163,18/36,GRAV,,,,,,,,,,,CIV,,,,Small gravel airstrip.,
Mys Shmidta,"Shmidt Cape, Mys Schmidia",3 km SE,Mys Shmidta,Chukotka,RUS,9,UHMI,,CD,M,6,68,52.1,N,179,22.5,W,H,20,,,,,,68.8683,-179.375,6,2500,60,HA,153,14/32,CONC,,,,,,,,,,,MIL/CIV,OGA,Z,,"Major airfield with 1100 x 80 m concrete tarmac.  Gravel overrun suggests runway was to eventually be extended to 3000 m.  Operated by OGA (Arctic Control Group), this is an arctic staging base for intercontinental bomber flights.  In the spring of 1952, CIA reports inicated that the Soviet Union was operating the TU-4 (a strategic bomber based on a re-engineered B-29 Superfortress) from both Mys Shmidta and Provideniya.",
Afrikanda,,2 km N,Afrikanda,Murmanskaya,RUS,,,,,M,6,67,27.3,N,32,47.2,E,C,541,"T04,?",505,?,,,67.455,32.7867,13,2500,50,,106,,CONC,,,,,,,,,,,MIL,PVO,I,,"This interceptor base was home to 431 IAP and possibly 470 IAP, flying Su-15 and Su-27 aircraft in the early 1990s.",
Monchegorsk,,13 km N,Monchegorsk,Murmanskaya,RUS,,,,,M,5,67,59.2,N,33,1.1,E,,605,"T04,?",548,?,,,67.9867,33.0183,13,2500,70,,27,,CONC,,,,,,,,,,,MIL,,IR,,"Older, small airfield about 11 miles southwest of Olenogorsk.  Contains curvy parallel taxiway with a number of small revetments.  It was home to the interceptor regiment 174 GV IAP flying MiG-25PDS in the 1980s and as many as 29 MiG-31 in the early 1990s.  The 98 ORAP flew the MiG-25RB, Su-17, Su-24MR, and MiG-31.",
Kirovsk,,5 km SW,Kirovsk,Murmanskaya,RUS,,,,,M,,67,34.6,N,33,34.9,E,H,732,T04,,,,,67.5767,33.5817,,1460,40,H,108,Oct-28,CONC,,,,,,,,,,,CIV,,,,Small civilian airport with 130 x 80 m tarmac and some concrete parking pads.,
Kirovska/Apatity,Kirovsk South-Apatity (US),15 km SE,Apatity,Murmanskaya,RUS,,ULMK,,,M,5,67,27.8,N,33,35.3,E,C,584,T04,,,,,67.4633,33.5883,14,2500,42,,128,Dec-30,PLAT,,,,,,,,,,,MIL,,H,,Appears to be older airfield with single tarmac area.  Handles medium-sized airliners.  Closed 1994.  The 227 OVE REB flew the Mi-8 helicopter from Kirovska.,
Umbozero,,3 km N,Umbozero,Murmanskaya,RUS,,,,,M,6,67,31,N,34,18.6,E,,584,T04,,,,,67.5167,34.31,14,2500,50,,70,,CONC,,,,,,,,,,,MIL,,Z,,"Located 165 km SE of Murmansk, this airfield contains 20 revetments, each 100 m apart.  No tarmac space.  Elevation given as 149 m (ONC, 1988).",
Berezovka,Umbozero South (US),13 km SW,Umbozero,Murmanskaya,RUS,,,,,A,0,67,22.8,N,34,13,E,,495,T04,427,?,,,67.38,34.2167,14,3500,70,,2,,CONC,,,,,,,,,,,MIL,,Z,,"Minor airfield, probably a decaying forward bomber staging base from 1960s/1970s.  No buildings.  Elevation given as 113 m (ONC, 1988).",
Krasnoshelye,,2 km E,Krasnaya Shchel'ye,,RUS,,,,,M,,67,22,N,37,6,E,C,590,"T04,T82",,,,,67.3667,37.1,,1000,20,G,95,,UNKN,,,,,,,,,,,CIV,,,,Small civilian airfield.  Exact dimensions unknown due to poor satellite imagery.,
Kachalovka,,15 km SE,Gremikha,Murmanskaya,RUS,,,,,N,2,67,59.2,N,39,50.1,E,G,490,T82,,,,,67.9867,39.835,17,1200,80,,44,,CONC,,,,,,,,,,,CIV,,,,Either a helicopter airfield or a small civil airstrip.  Minor taxiways.  May be abandoned.,
